date,open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
02/11/2021,1.63581E+12,0.0002527,0.0002549,0.0002462,0.0002473,11987165,1.6359E+12,3008.583481,14677,5733468,1440.559618,0
03/11/2021,1.6359E+12,0.0002474,0.0002712,0.0002449,0.0002628,21048615,1.63598E+12,5469.462754,27014,10436234,2712.010695,0
04/11/2021,1.63598E+12,0.0002628,0.000276,0.0002605,0.0002651,16789729,1.63607E+12,4464.792078,21449,8318720,2213.387905,0
05/11/2021,1.63607E+12,0.0002648,0.0002649,0.0002541,0.0002587,11286708,1.63616E+12,2932.88974,12971,6064849,1575.632039,0
06/11/2021,1.63616E+12,0.000259,0.0002614,0.0002535,0.0002549,5966879,1.63624E+12,1539.056382,8946,2934774,757.0131757,0
07/11/2021,1.63624E+12,0.0002548,0.0002699,0.0002528,0.0002644,7910354,1.63633E+12,2068.389301,12685,4178519,1094.087528,0
08/11/2021,1.63633E+12,0.0002645,0.0002747,0.0002606,0.0002665,15333901,1.63642E+12,4099.009021,20243,8465195,2261.791107,0
09/11/2021,1.63642E+12,0.0002665,0.0002682,0.0002575,0.0002656,9271493,1.6365E+12,2435.769121,14709,4403292,1157.348117,0
10/11/2021,1.6365E+12,0.0002655,0.0002831,0.00025,0.0002571,17687014,1.63659E+12,4754.042936,30223,8103926,2181.599691,0
11/11/2021,1.63659E+12,0.0002573,0.0002677,0.0002531,0.0002573,6719533,1.63668E+12,1742.851715,12472,3495357,906.5403003,0
12/11/2021,1.63668E+12,0.0002571,0.0002607,0.0002513,0.0002545,6639724,1.63676E+12,1694.088603,10102,3262241,831.6207993,0
13/11/2021,1.63676E+12,0.0002547,0.000258,0.0002531,0.000256,5099380,1.63685E+12,1303.209999,6652,1775785,453.8483294,0
14/11/2021,1.63685E+12,0.0002562,0.0002602,0.0002545,0.0002569,3717632,1.63693E+12,957.8465602,5683,1366278,352.1869737,0
15/11/2021,1.63693E+12,0.0002569,0.00026,0.0002529,0.0002569,4974195,1.63702E+12,1277.42995,7823,2321371,596.1835301,0
