date;close;quote_asset_volume;num_trades;taker_buy_quote_asset_volume
27/01/2021;0.00020200;1680.52654700;10967.00000000;831.71590640
28/01/2021;0.00019878;1717.90841100;9863.00000000;701.02241020
29/01/2021;0.00020543;8434.28773400;31195.00000000;4184.36904900
30/01/2021;0.00032279;39024.02874000;79304.00000000;18102.04403000
31/01/2021;0.00037764;39384.24168000;67404.00000000;18895.18372000
01/02/2021;0.00027022;97806.34075000;142479.00000000;44264.46220000
02/02/2021;0.00024672;17722.80103000;41446.00000000;8753.25899800
03/02/2021;0.00023848;12253.35354000;35874.00000000;5681.94883900
04/02/2021;0.00027892;18013.35158000;54479.00000000;8522.38143400
05/02/2021;0.00026301;11207.65616000;30785.00000000;5924.76000900
06/02/2021;0.00026431;4855.67405400;16757.00000000;2115.89159000
07/02/2021;0.00025950;6654.17076400;23359.00000000;3101.24392000
08/02/2021;0.00025766;5373.54922300;21035.00000000;2507.64676300
09/02/2021;0.00026953;6221.07679000;25113.00000000;3084.88661900
10/02/2021;0.00028956;10426.70752000;36008.00000000;4271.17393300
11/02/2021;0.00029534;4319.37878500;14349.00000000;2156.50969800
12/02/2021;0.00033026;11042.48858000;28905.00000000;5038.73889100
13/02/2021;0.00034836;10339.92174000;29033.00000000;4721.16514300
14/02/2021;0.00032930;6499.40015000;19881.00000000;2963.71796300
15/02/2021;0.00030901;5651.76612000;21265.00000000;2489.60356600
16/02/2021;0.00029227;4685.70966100;18092.00000000;2160.24230200
17/02/2021;0.00028880;6800.23713900;20500.00000000;3126.19923700
18/02/2021;0.00027398;6353.53680200;18845.00000000;2759.46103500
19/02/2021;0.00028854;5679.15739000;17066.00000000;2676.26745300
20/02/2021;0.00026810;7335.15499800;22316.00000000;3409.02235800
21/02/2021;0.00028154;3702.01827100;13893.00000000;1759.80072300
22/02/2021;0.00031841;18262.99271000;54053.00000000;8496.00101800
23/02/2021;0.00030172;8863.88118300;30721.00000000;3913.70739900
24/02/2021;0.00028906;4357.88315100;14127.00000000;2126.73570800
25/02/2021;0.00029466;4065.91193700;10726.00000000;1669.61433200
26/02/2021;0.00029620;4906.91325400;15050.00000000;2348.63109200
27/02/2021;0.00029866;4636.29514200;13804.00000000;2195.20544800
28/02/2021;0.00029284;4555.75885600;13368.00000000;2208.78712200
01/03/2021;0.00028356;4462.81822200;12490.00000000;2063.42294400
02/03/2021;0.00029316;5791.85195800;13700.00000000;2753.16138900
03/03/2021;0.00028543;4868.95420700;13532.00000000;2459.40683200
04/03/2021;0.00031295;5178.87936900;16960.00000000;2779.80561400
05/03/2021;0.00029743;3842.62249900;11871.00000000;1870.63458000
06/03/2021;0.00028042;6273.23566300;16925.00000000;3494.98555400
07/03/2021;0.00026985;5292.64834600;14445.00000000;2901.46220300
08/03/2021;0.00025881;7109.35545300;18806.00000000;3683.01517000
09/03/2021;0.00025918;3472.38107400;12545.00000000;1662.05266900
10/03/2021;0.00025742;3598.44745500;13347.00000000;1664.81790200
11/03/2021;0.00024760;4233.87295700;13300.00000000;2054.01281100
12/03/2021;0.00024865;3878.33181300;11835.00000000;2060.70401600
13/03/2021;0.00023822;4530.14049000;13886.00000000;2221.04811400
14/03/2021;0.00023731;2535.75160200;9032.00000000;1158.67759600
15/03/2021;0.00024285;4321.96989000;12914.00000000;2397.54303100
16/03/2021;0.00025481;8227.14279200;23611.00000000;3999.96964900
17/03/2021;0.00025801;2881.45822300;11476.00000000;1353.29977700
18/03/2021;0.00026383;2631.75196600;10515.00000000;1473.33752800
19/03/2021;0.00025785;1913.83400900;8076.00000000;949.45294190
20/03/2021;0.00029142;7312.47231200;23529.00000000;3789.47124700
21/03/2021;0.00029017;4451.18087000;14880.00000000;2146.81911500
22/03/2021;0.00032323;8878.28855600;28925.00000000;4042.30640700
23/03/2021;0.00032914;6287.60493500;19766.00000000;2974.80556500
24/03/2021;0.00030375;4657.99071400;17890.00000000;2002.43800000
25/03/2021;0.00032207;3449.89327900;12243.00000000;1658.66053100
26/03/2021;0.00033175;3871.19322500;15334.00000000;1865.44406900
27/03/2021;0.00032004;2455.73852300;8877.00000000;1141.40524000
28/03/2021;0.00032337;1380.13702500;6656.00000000;759.63731950
29/03/2021;0.00031091;3143.41408200;11636.00000000;1309.00552000
30/03/2021;0.00030564;3018.90781900;10852.00000000;1376.72632100
31/03/2021;0.00029710;4140.81501700;14511.00000000;1832.25932700
01/04/2021;0.00029023;3869.58899600;12600.00000000;1773.82367200
02/04/2021;0.00028409;4539.48134900;14804.00000000;2087.91459100
03/04/2021;0.00028766;4079.28892800;16577.00000000;1792.67795000
04/04/2021;0.00030607;3082.34103300;11619.00000000;1431.39037100
05/04/2021;0.00043463;23558.21907000;73825.00000000;11348.85376000
06/04/2021;0.00051898;31010.00990000;100202.00000000;14810.51601000
07/04/2021;0.00046581;20459.70268000;65135.00000000;9657.93525200
08/04/2021;0.00050717;9122.42683800;30166.00000000;4538.06869200
09/04/2021;0.00049304;10320.77684000;29454.00000000;4934.92018900
10/04/2021;0.00064395;29541.21866000;88899.00000000;14566.69391000
11/04/2021;0.00062778;26847.38684000;78392.00000000;12474.16230000
12/04/2021;0.00068710;11563.27191000;37883.00000000;5638.66914900
13/04/2021;0.00078012;30769.44230000;105113.00000000;14390.14472000
14/04/2021;0.00075383;26267.48432000;106208.00000000;13758.85828000
15/04/2021;0.00069998;16226.20430000;57623.00000000;7914.43762500
16/04/2021;0.00063945;17067.59922000;73027.00000000;8161.67891700
17/04/2021;0.00066383;9420.63984400;41766.00000000;4438.73888900
18/04/2021;0.00063102;14207.05045000;70355.00000000;6993.17272500
19/04/2021;0.00060705;10269.96078000;45997.00000000;5284.79939600
20/04/2021;0.00059535;10256.69216000;36718.00000000;4470.21157200
21/04/2021;0.00054712;9214.42107300;30471.00000000;3965.25805300
22/04/2021;0.00048136;12347.19240000;38216.00000000;6189.36661000
23/04/2021;0.00049537;12111.21385000;35911.00000000;5927.14573400
24/04/2021;0.00047315;5679.50405800;16870.00000000;2125.93411700
25/04/2021;0.00044552;8301.08282900;19426.00000000;5806.57602000
26/04/2021;0.00053885;15594.69616000;34254.00000000;4366.95396200
27/04/2021;0.00052565;10399.23860000;28300.00000000;4554.61837200
28/04/2021;0.00049376;8737.73114300;21989.00000000;3838.55573500
29/04/2021;0.00050651;7441.69221300;18100.00000000;3652.71149200
30/04/2021;0.00057652;15269.75586000;35117.00000000;6811.26578900
01/05/2021;0.00056031;9617.48583700;23941.00000000;4405.53751400
02/05/2021;0.00052875;4200.53929800;14987.00000000;1945.91246700
03/05/2021;0.00045287;11548.37748000;36726.00000000;5984.84567400
04/05/2021;0.00042864;14309.56913000;40896.00000000;7290.10065100
05/05/2021;0.00045821;10777.37790000;29856.00000000;4409.10471300
06/05/2021;0.00045973;10675.19762000;34494.00000000;5179.28134700
07/05/2021;0.00045421;6518.68828000;22377.00000000;2747.54010000
08/05/2021;0.00039864;5843.29030200;22620.00000000;2783.16798500
09/05/2021;0.00039100;6583.15257500;23587.00000000;3265.22426700
10/05/2021;0.00035208;9010.65899500;33303.00000000;4487.15708300
11/05/2021;0.00035450;4407.54804100;23788.00000000;2102.71354700
12/05/2021;0.00033180;7782.59061700;34477.00000000;3825.01853200
13/05/2021;0.00036685;6106.54329300;35545.00000000;2978.39007900
14/05/2021;0.00034301;5321.77243200;26797.00000000;2595.80809600
15/05/2021;0.00040911;10740.72957000;41773.00000000;4972.64542000
16/05/2021;0.00040478;9154.96035000;37322.00000000;4136.93228300
17/05/2021;0.00045607;11250.22614000;42366.00000000;5232.69084400
18/05/2021;0.00047115;11502.66972000;40308.00000000;5298.58102000
19/05/2021;0.00043330;22247.96610000;104003.00000000;10822.11191000
20/05/2021;0.00042612;9501.90389300;40623.00000000;4859.95392700
21/05/2021;0.00041369;7376.22122000;34247.00000000;3755.70054900
22/05/2021;0.00039384;5383.45924600;23210.00000000;2636.05968400
23/05/2021;0.00037651;7846.66305100;31789.00000000;3978.92408700
24/05/2021;0.00037568;8504.92277000;28991.00000000;3321.21866500
25/05/2021;0.00036037;5936.99472100;24866.00000000;2852.67588200
26/05/2021;0.00035728;4310.44148400;19509.00000000;2161.12998000
27/05/2021;0.00035530;5385.76908900;17479.00000000;1927.59132000
28/05/2021;0.00037221;5916.15921700;22058.00000000;2910.52685200
29/05/2021;0.00036507;3826.33684300;15984.00000000;1949.05442400
30/05/2021;0.00037920;3777.24752500;15356.00000000;2180.64052100
31/05/2021;0.00038484;5998.70478500;23757.00000000;3169.44886200
01/06/2021;0.00038389;4019.08795600;15822.00000000;1984.02087500
02/06/2021;0.00037863;2383.37743800;10766.00000000;1239.57497000
03/06/2021;0.00036618;2559.42594500;10790.00000000;1136.94818500
04/06/2021;0.00036122;2645.53647300;11455.00000000;1334.77625000
05/06/2021;0.00035141;2355.11911500;8919.00000000;1040.42820400
06/06/2021;0.00034902;1495.81227200;6867.00000000;887.96267620
07/06/2021;0.00033282;2531.66090200;11762.00000000;1190.54174300
08/06/2021;0.00034790;2614.34964400;11258.00000000;1394.50573400
09/06/2021;0.00035312;2444.98961200;9992.00000000;1372.90792400
10/06/2021;0.00035114;1705.40967100;7364.00000000;834.12763670
11/06/2021;0.00036008;1371.67656700;7845.00000000;738.67670470
12/06/2021;0.00035090;1492.58486300;7620.00000000;686.12077000
13/06/2021;0.00035220;1166.81771400;7279.00000000;591.88444440
14/06/2021;0.00034521;2064.87305600;9085.00000000;844.30118050
15/06/2021;0.00034021;2091.25886200;8778.00000000;1030.68089800
16/06/2021;0.00035098;2338.01770200;9496.00000000;871.46517280
17/06/2021;0.00035500;2983.87925200;11995.00000000;1336.67977900
18/06/2021;0.00035670;3213.48393100;13612.00000000;1571.53253000
19/06/2021;0.00035048;2081.45847500;10093.00000000;889.18715660
20/06/2021;0.00034481;2916.52867600;12921.00000000;1388.08178700
21/06/2021;0.00032155;4598.31431900;17097.00000000;2172.37868700
22/06/2021;0.00029124;6118.37337700;20392.00000000;3284.59993900
23/06/2021;0.00032460;3629.71858100;13643.00000000;1880.81376700
24/06/2021;0.00033777;2832.08173400;10514.00000000;1300.27079400
25/06/2021;0.00033756;3178.47505600;12831.00000000;1545.40967700
26/06/2021;0.00033649;1408.09343600;6884.00000000;705.36819620
27/06/2021;0.00032728;1597.26739200;6660.00000000;806.97942420
28/06/2021;0.00030914;2287.36373700;10318.00000000;1203.13472100
29/06/2021;0.00032589;2886.46914600;12025.00000000;1458.17283300
